anio,cuenta,subcuenta,valor
"2007","4 - SERVICIOS ECONOMICOS","46-Industria","817,1"
"2007","4 - SERVICIOS ECONOMICOS","47-Comercio, Turismo y Otros Servicios","258,4"
"2007","4 - SERVICIOS ECONOMICOS","48-Seguros y Finanzas","209,1"
"2007","5 - DEUDA PUBLICA","51-Servicio de la Deuda Pública","17.253,3"
"2008","1 - ADMINISTRACION GUBERNAMENTAL","11-Legislativa","828,2"
"2008","1 - ADMINISTRACION GUBERNAMENTAL","12-Judicial","2.824,8"
"2008","1 - ADMINISTRACION GUBERNAMENTAL","13-Dirección Superior Ejecutiva","1.243,2"
"2008","1 - ADMINISTRACION GUBERNAMENTAL","14-Relaciones Exteriores","1.747,3"
"2008","1 - ADMINISTRACION GUBERNAMENTAL","15-Relaciones Interiores","1.675,0"
"2008","1 - ADMINISTRACION GUBERNAMENTAL","16-Administración Fiscal","171,2"
"2008","1 - ADMINISTRACION GUBERNAMENTAL","17-Control de la Gestión Pública","135,7"
"2008","1 - ADMINISTRACION GUBERNAMENTAL","18-Información y Estadística Básicas","135,6"
"2008","2 - SERVICIOS DE DEFENSA Y SEGURIDAD","21-Defensa","5.006,0"
"2008","2 - SERVICIOS DE DEFENSA Y SEGURIDAD","22-Seguridad Interior","4.566,0"
"2008","2 - SERVICIOS DE DEFENSA Y SEGURIDAD","23-Sistema Penal","608,6"
"2008","2 - SERVICIOS DE DEFENSA Y SEGURIDAD","24-Inteligencia","641,8"
"2008","3 - SERVICIOS SOCIALES","31-Salud","6.724,4"
"2008","3 - SERVICIOS SOCIALES","32-Promoción y Asistencia Social","4.659,7"
"2008","3 - SERVICIOS SOCIALES","33-Seguridad Social","74.033,0"
"2008","3 - SERVICIOS SOCIALES","34-Educación y Cultura","13.445,7"
"2008","3 - SERVICIOS SOCIALES","35-Ciencia y Técnica","2.993,4"
"2008","3 - SERVICIOS SOCIALES","36-Trabajo","2.557,8"
"2008","3 - SERVICIOS SOCIALES","37-Vivienda y Urbanismo","3.758,2"
"2008","3 - SERVICIOS SOCIALES","38-Agua Potable y Alcantarillado","1.944,8"
"2008","3 - SERVICIOS SOCIALES","39-Otros Servicios Urbanos","0,0"
"2008","4 - SERVICIOS ECONOMICOS","41-Energía, Combustibles y Minería","18.999,4"
"2008","4 - SERVICIOS ECONOMICOS","42-Comunicaciones","587,4"
"2008","4 - SERVICIOS ECONOMICOS","43-Transporte","15.812,1"
"2008","4 - SERVICIOS ECONOMICOS","44-Ecología y Medio Ambiente","367,6"
"2008","4 - SERVICIOS ECONOMICOS","45-Agricultura","5.012,1"
"2008","4 - SERVICIOS ECONOMICOS","46-Industria","411,4"
"2008","4 - SERVICIOS ECONOMICOS","47-Comercio, Turismo y Otros Servicios","329,5"
"2008","4 - SERVICIOS ECONOMICOS","48-Seguros y Finanzas","84,2"
"2008","5 - DEUDA PUBLICA","51-Servicio de la Deuda Pública","21.669,9"
"2009","1 - ADMINISTRACION GUBERNAMENTAL","11-Legislativa","1.069,3"
"2009","1 - ADMINISTRACION GUBERNAMENTAL","12-Judicial","3.605,7"
"2009","1 - ADMINISTRACION GUBERNAMENTAL","13-Dirección Superior Ejecutiva","2.255,0"
"2009","1 - ADMINISTRACION GUBERNAMENTAL","14-Relaciones Exteriores","2.193,6"
"2009","1 - ADMINISTRACION GUBERNAMENTAL","15-Relaciones Interiores","7.176,6"
"2009","1 - ADMINISTRACION GUBERNAMENTAL","16-Administración Fiscal","237,4"
"2009","1 - ADMINISTRACION GUBERNAMENTAL","17-Control de la Gestión Pública","176,3"
"2009","1 - ADMINISTRACION GUBERNAMENTAL","18-Información y Estadística Básicas","160,7"
"2009","2 - SERVICIOS DE DEFENSA Y SEGURIDAD","21-Defensa","6.209,9"
"2009","2 - SERVICIOS DE DEFENSA Y SEGURIDAD","22-Seguridad Interior","6.691,1"
"2009","2 - SERVICIOS DE DEFENSA Y SEGURIDAD","23-Sistema Penal","1.026,2"
"2009","2 - SERVICIOS DE DEFENSA Y SEGURIDAD","24-Inteligencia","801,7"
"2009","3 - SERVICIOS SOCIALES","31-Salud","9.375,3"
"2009","3 - SERVICIOS SOCIALES","32-Promoción y Asistencia Social","6.930,5"
"2009","3 - SERVICIOS SOCIALES","33-Seguridad Social","98.398,6"
"2009","3 - SERVICIOS SOCIALES","34-Educación y Cultura","17.144,3"
"2009","3 - SERVICIOS SOCIALES","35-Ciencia y Técnica","4.038,5"
"2009","3 - SERVICIOS SOCIALES","36-Trabajo","2.911,9"
"2009","3 - SERVICIOS SOCIALES","37-Vivienda y Urbanismo","5.295,6"
"2009","3 - SERVICIOS SOCIALES","38-Agua Potable y Alcantarillado","2.586,5"
"2009","3 - SERVICIOS SOCIALES","39-Otros Servicios Urbanos","0,0"
"2009","4 - SERVICIOS ECONOMICOS","41-Energía, Combustibles y Minería","17.578,8"
"2009","4 - SERVICIOS ECONOMICOS","42-Comunicaciones","1.315,7"
"2009","4 - SERVICIOS ECONOMICOS","43-Transporte","20.869,9"
"2009","4 - SERVICIOS ECONOMICOS","44-Ecología y Medio Ambiente","536,6"
"2009","4 - SERVICIOS ECONOMICOS","45-Agricultura","4.165,9"
"2009","4 - SERVICIOS ECONOMICOS","46-Industria","556,6"
"2009","4 - SERVICIOS ECONOMICOS","47-Comercio, Turismo y Otros Servicios","415,9"
"2009","4 - SERVICIOS ECONOMICOS","48-Seguros y Finanzas","87,5"
"2009","5 - DEUDA PUBLICA","51-Servicio de la Deuda Pública","26.102,5"
"2010","1 - ADMINISTRACION GUBERNAMENTAL","11-Legislativa","1.440,6"
"2010","1 - ADMINISTRACION GUBERNAMENTAL","12-Judicial","4.785,8"
"2010","1 - ADMINISTRACION GUBERNAMENTAL","13-Dirección Superior Ejecutiva","2.407,4"
"2010","1 - ADMINISTRACION GUBERNAMENTAL","14-Relaciones Exteriores","2.696,5"
"2010","1 - ADMINISTRACION GUBERNAMENTAL","15-Relaciones Interiores","10.862,5"
"2010","1 - ADMINISTRACION GUBERNAMENTAL","16-Administración Fiscal","2.731,2"
"2010","1 - ADMINISTRACION GUBERNAMENTAL","17-Control de la Gestión Pública","246,4"
"2010","1 - ADMINISTRACION GUBERNAMENTAL","18-Información y Estadística Básicas","732,4"
"2010","2 - SERVICIOS DE DEFENSA Y SEGURIDAD","21-Defensa","7.684,0"
"2010","2 - SERVICIOS DE DEFENSA Y SEGURIDAD","22-Seguridad Interior","10.377,8"
"2010","2 - SERVICIOS DE DEFENSA Y SEGURIDAD","23-Sistema Penal","1.334,6"
"2010","2 - SERVICIOS DE DEFENSA Y SEGURIDAD","24-Inteligencia","904,7"
"2010","3 - SERVICIOS SOCIALES","31-Salud","11.477,1"
"2010","3 - SERVICIOS SOCIALES","32-Promoción y Asistencia Social","9.382,2"
"2010","3 - SERVICIOS SOCIALES","33-Seguridad Social","131.623,3"
"2010","3 - SERVICIOS SOCIALES","34-Educación y Cultura","21.918,7"
"2010","3 - SERVICIOS SOCIALES","35-Ciencia y Técnica","5.075,8"
"2010","3 - SERVICIOS SOCIALES","36-Trabajo","2.315,6"
"2010","3 - SERVICIOS SOCIALES","37-Vivienda y Urbanismo","5.289,9"
"2010","3 - SERVICIOS SOCIALES","38-Agua Potable y Alcantarillado","3.403,6"
"2010","3 - SERVICIOS SOCIALES","39-Otros Servicios Urbanos","0,0"
"2010","4 - SERVICIOS ECONOMICOS","41-Energía, Combustibles y Minería","30.807,0"
"2010","4 - SERVICIOS ECONOMICOS","42-Comunicaciones","2.696,9"
"2010","4 - SERVICIOS ECONOMICOS","43-Transporte","26.825,3"
"2010","4 - SERVICIOS ECONOMICOS","44-Ecología y Medio Ambiente","818,9"
"2010","4 - SERVICIOS ECONOMICOS","45-Agricultura","5.463,8"
"2010","4 - SERVICIOS ECONOMICOS","46-Industria","701,0"
"2010","4 - SERVICIOS ECONOMICOS","47-Comercio, Turismo y Otros Servicios","631,6"
"2010","4 - SERVICIOS ECONOMICOS","48-Seguros y Finanzas","630,9"
"2010","5 - DEUDA PUBLICA","51-Servicio de la Deuda Pública","23.768,6"
"2011","1 - ADMINISTRACION GUBERNAMENTAL","11-Legislativa","2.040,8"
"2011","1 - ADMINISTRACION GUBERNAMENTAL","12-Judicial","6.670,6"
"2011","1 - ADMINISTRACION GUBERNAMENTAL","13-Dirección Superior Ejecutiva","3.352,9"
"2011","1 - ADMINISTRACION GUBERNAMENTAL","14-Relaciones Exteriores","2.068,6"
"2011","1 - ADMINISTRACION GUBERNAMENTAL","15-Relaciones Interiores","12.104,5"
"2011","1 - ADMINISTRACION GUBERNAMENTAL","16-Administración Fiscal","2.434,0"
"2011","1 - ADMINISTRACION GUBERNAMENTAL","17-Control de la Gestión Pública","357,2"
"2011","1 - ADMINISTRACION GUBERNAMENTAL","18-Información y Estadística Básicas","247,9"
"2011","2 - SERVICIOS DE DEFENSA Y SEGURIDAD","21-Defensa","9.473,0"
"2011","2 - SERVICIOS DE DEFENSA Y SEGURIDAD","22-Seguridad Interior","11.898,0"
"2011","2 - SERVICIOS DE DEFENSA Y SEGURIDAD","23-Sistema Penal","1.952,0"
"2011","2 - SERVICIOS DE DEFENSA Y SEGURIDAD","24-Inteligencia","1.019,7"
"2011","3 - SERVICIOS SOCIALES","31-Salud","15.273,7"
"2011","3 - SERVICIOS SOCIALES","32-Promoción y Asistencia Social","9.619,1"
"2011","3 - SERVICIOS SOCIALES","33-Seguridad Social","175.070,0"
"2011","3 - SERVICIOS SOCIALES","34-Educación y Cultura","32.838,2"
"2011","3 - SERVICIOS SOCIALES","35-Ciencia y Técnica","6.624,5"
"2011","3 - SERVICIOS SOCIALES","36-Trabajo","3.129,3"
"2011","3 - SERVICIOS SOCIALES","37-Vivienda y Urbanismo","5.964,4"
"2011","3 - SERVICIOS SOCIALES","38-Agua Potable y Alcantarillado","5.458,3"
"2011","3 - SERVICIOS SOCIALES","39-Otros Servicios Urbanos","0,0"
"2011","4 - SERVICIOS ECONOMICOS","41-Energía, Combustibles y Minería","50.260,8"
"2011","4 - SERVICIOS ECONOMICOS","42-Comunicaciones","3.923,4"
"2011","4 - SERVICIOS ECONOMICOS","43-Transporte","39.028,8"
"2011","4 - SERVICIOS ECONOMICOS","44-Ecología y Medio Ambiente","1.838,1"
"2011","4 - SERVICIOS ECONOMICOS","45-Agricultura","3.463,3"
"2011","4 - SERVICIOS ECONOMICOS","46-Industria","922,5"
"2011","4 - SERVICIOS ECONOMICOS","47-Comercio, Turismo y Otros Servicios","1.778,5"
"2011","4 - SERVICIOS ECONOMICOS","48-Seguros y Finanzas","266,4"
"2011","5 - DEUDA PUBLICA","51-Servicio de la Deuda Pública","41.469,7"
